,ID,Title,Location,Estado,Company,Salary,Synopsis,Description,Post_Date,Accessed_Date,English,Skills,Academy_grade,Years_Experience,SoftSkill,Full Description,Skill_datos,Roles_datos,Areas_datos
29,14,Sr. Software Engineer (Ford Pro),"Colonia Santa Fe, CDMX",Ciudad de México,Ford de México,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming…",,Postedhace 2 días,2022-04-22,,,,,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming… ",Machine learning,Engineer,
30,0,Data Science Team Leader,"Ciudad Juárez, Chih.",Chihuahua,Bosch Group,,"Solid understanding of machine learning.Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle…",,Postedhace 30+ días,2022-04-22,,,,,,"Solid understanding of machine learning.Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle… ",Machine learning,,Data science
31,1,"Specialist, Material Costing and Awards","Monterrey, N. L.",Nuevo León,Celestica,,"Maintains global and/or regional responsibility for a complex commodity or group of commodities for price/value determination, product and/or service…",,Postedhace 30+ días,2022-04-22,,,,,,"Maintains global and/or regional responsibility for a complex commodity or group of commodities for price/value determination, product and/or service… ",,Specialist,
32,2,Senior Data Architect,Edo. de México,Edo. de México,Amazon Web Services Mexico,,"These professional services engements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data…",,Postedhace 30+ días,2022-04-22,,,,,,"These professional services engements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data… ",Machine learning,,
33,3,Demand Planner,"Guadalajara, Jal.",Jalisco,HP,,"As a “Demand Planning Specialist” at HP’s Customer Support Supply Chain (CSSC) Organization for the Personal Systems Platform, you will receive opportunities to…",,Postedhace 30+ días,2022-04-22,,,,,,"As a “Demand Planning Specialist” at HP’s Customer Support Supply Chain (CSSC) Organization for the Personal Systems Platform, you will receive opportunities to… ",,,
34,4,OPS-IT – Senior Hybrid Business Analyst –Deliver Capability,"Guadalajara, Jal.",Jalisco,AstraZeneca,,Provide thought leadership & innovation in specialist area to enable enhanced performance by managing leading edge projects across the specialist area.,,Postedhace 30+ días,2022-04-22,,,,,,Provide thought leadership & innovation in specialist area to enable enhanced performance by managing leading edge projects across the specialist area. ,,Analyst,
35,5,Especialista de Atracción de Talento,"Remoto temporalmente in Zapopan, Jal.",Remoto,CIENCE,,"As a Talent Acquisition Specialist, you will be responsible to utilize different channels to search for potential candidates, reach passive candidates, and…",,PostedHoy,2022-04-22,,,,,,"As a Talent Acquisition Specialist, you will be responsible to utilize different channels to search for potential candidates, reach passive candidates, and… ",,Especialista,
36,6,Data & Analytics Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,Hard Skills on Azure Data factory - Integrated Runtime (SSIS).Azure Data warehouse (Synapse SQL).Languages must - TSQL (nice to have: C#/Python).,,Postedhace 30+ días,2022-04-22,,,,,,Hard Skills on Azure Data factory - Integrated Runtime (SSIS).Azure Data warehouse (Synapse SQL).Languages must - TSQL (nice to have: C#/Python). ,"Python, SQL",Engineer,Analytics
37,7,"Data Architect, Data Lake",Ciudad de México,Ciudad de México,Amazon Web Services Mexico,,"These professional services engagements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data…",,Postedhace 30+ días,2022-04-22,,,,,,"These professional services engagements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data… ",Machine learning,,
38,8,Business Development Executive Applictaion & Cloud Services,Ciudad de México,Ciudad de México,SoftwareONE,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other…",,Postedhace 30+ días,2022-04-22,,,,,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other… ",,,
39,9,Senior Cloud Data Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,"Experience with machine learning algorithms, including deep neural networks, natural language processing, kernel methods, dimensionality reduction, ensemble…",,Postedhace 30+ días,2022-04-22,,,,,,"Experience with machine learning algorithms, including deep neural networks, natural language processing, kernel methods, dimensionality reduction, ensemble… ",Machine learning,Engineer,
40,10,Security DevOps Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,"Experience building pipeline for automation of machine image creation and management.Experience working in public cloud environments, strong public cloud…",,Postedhace 30+ días,2022-04-22,,,,,,"Experience building pipeline for automation of machine image creation and management.Experience working in public cloud environments, strong public cloud… ",,Engineer,
41,11,Software Engineer (Ford Pro),"Colonia Santa Fe, CDMX",Ciudad de México,Ford de México,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming…",,Postedhace 2 días,2022-04-22,,,,,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming… ",Machine learning,Engineer,
42,12,Expert IT Technology-Customer Care - IT North America,Ciudad de México,Ciudad de México,Nestle,,"Technology expertise • Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation,…",,Postedhace 30+ días,2022-04-22,,,,,,"Technology expertise • Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation,… ",,,
43,13,Business Development Executive Application & Cloud Services,Ciudad de México,Ciudad de México,SoftwareONE,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other…",,Postedhace 30+ días,2022-04-22,,,,,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other… ",,,
44,0,Data Science Team Leader,"Ciudad Juárez, Chih.",Chihuahua,Bosch Group,,"Solid understanding of machine learning.Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle…","Company Description
Bosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.

Job Description
Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle time and defect cost targets).
Envisioning, planning, creating, and optimizing data projects for our business partners
Building analytical systems and predictive models
Ensuring proper execution of duties of product and consulting teams
Working with company leadership on the creation of new data science capability for the business by envisioning products and services that will create measurable improvement in our client’s business performance.
Manage a team of data scientists, machine learning engineers, and big data specialists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan, and prioritize data projects
Build analytic systems and predictive models
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals

Qualifications

Bachelors in Computer science, Systems engineering or related
Advanced English (mandatory)
Proficient in communication to all levels.
Proficient negotiation skills
Strong Leadership skills
Knowledge of database administration.
Basic knowledge in programming (e.g. SQL)
Proven experience as a Data Scientist or similar role
Solid understanding of machine learning
Knowledge of data management and visualization techniques
A knack for statistical analysis and predictive modeling
Good knowledge of R, Python, and MATLAB
Experience with SQL and NoSQL databases
Strong organizational skills
A business mindset
Master’s degree in Statistics, Machine Learning, Mathematics, Computer Science, Economics, or any other related quantitative field, preferred.
Availability to travel and no legal restrictions to obtain Mexican Passport & Visa.
Get to know more about how we work at Bosch and our new open positions on our social networks:
Facebook: Bosch Talento México
Instagram: Bosch Campus México
LinkedIn: Bosch México
Additional Information
Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.

Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.",Postedhace 30+ días,2022-04-22,"Advanced English, English","Python
NoSQL","Bachelor, Master",30 years,"Analitical, Comunication skills, Continuously learn, Creativity, Leadership, Organization","Solid understanding of machine learning.Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle… Company Description
Bosch was founded in Stuttgart in 1886 by Robert Bosch (1861-1942) and for more than 130 years has been distinguished by a unique corporate culture based on solid values that drive us to improve every day. Our products, present in a wide variety of fields, that contribute to improve the quality of life of millions of people.

Job Description
Leadership of an engineering team (technicians / engineers) to meet department’s goals (technical availability, cycle time and defect cost targets).
Envisioning, planning, creating, and optimizing data projects for our business partners
Building analytical systems and predictive models
Ensuring proper execution of duties of product and consulting teams
Working with company leadership on the creation of new data science capability for the business by envisioning products and services that will create measurable improvement in our client’s business performance.
Manage a team of data scientists, machine learning engineers, and big data specialists
Lead data mining and collection procedures
Ensure data quality and integrity
Interpret and analyze data problems
Conceive, plan, and prioritize data projects
Build analytic systems and predictive models
Test performance of data-driven products
Visualize data and create reports
Experiment with new models and techniques
Align data projects with organizational goals

Qualifications

Bachelors in Computer science, Systems engineering or related
Advanced English (mandatory)
Proficient in communication to all levels.
Proficient negotiation skills
Strong Leadership skills
Knowledge of database administration.
Basic knowledge in programming (e.g. SQL)
Proven experience as a Data Scientist or similar role
Solid understanding of machine learning
Knowledge of data management and visualization techniques
A knack for statistical analysis and predictive modeling
Good knowledge of R, Python, and MATLAB
Experience with SQL and NoSQL databases
Strong organizational skills
A business mindset
Master’s degree in Statistics, Machine Learning, Mathematics, Computer Science, Economics, or any other related quantitative field, preferred.
Availability to travel and no legal restrictions to obtain Mexican Passport & Visa.
Get to know more about how we work at Bosch and our new open positions on our social networks:
Facebook: Bosch Talento México
Instagram: Bosch Campus México
LinkedIn: Bosch México
Additional Information
Bosch is constantly expanding its international presence, since for us cultural diversity represents one of our greatest strengths. We are continuously promoting the growth of our more than 13,000 associates, who develop their full potential in one of the highest quality companies in technology. We value the balance between personal and work life as one of the main tools to improve the creativity and productivity of our associates.

Do you want beneficial technologies being shaped by your ideas? Whether in the areas of mobility solutions, consumer goods, industrial technology or energy and building technology – with us, you will have the chance to improve quality of life all across the globe. Welcome to Bosch.","Python, R, SQL, Machine learning",,Data science
45,1,"Specialist, Material Costing and Awards","Monterrey, N. L.",Nuevo León,Celestica,,"Maintains global and/or regional responsibility for a complex commodity or group of commodities for price/value determination, product and/or service…",,Postedhace 30+ días,2022-04-22,,,,,,"Maintains global and/or regional responsibility for a complex commodity or group of commodities for price/value determination, product and/or service… ",,Specialist,
46,2,Senior Data Architect,Edo. de México,Edo. de México,Amazon Web Services Mexico,,"These professional services engements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data…",,Postedhace 30+ días,2022-04-22,,,,,,"These professional services engements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data… ",Machine learning,,
47,3,Demand Planner,"Guadalajara, Jal.",Jalisco,HP,,"As a “Demand Planning Specialist” at HP’s Customer Support Supply Chain (CSSC) Organization for the Personal Systems Platform, you will receive opportunities to…",,Postedhace 30+ días,2022-04-22,,,,,,"As a “Demand Planning Specialist” at HP’s Customer Support Supply Chain (CSSC) Organization for the Personal Systems Platform, you will receive opportunities to… ",,,
48,4,OPS-IT – Senior Hybrid Business Analyst –Deliver Capability,"Guadalajara, Jal.",Jalisco,AstraZeneca,,Provide thought leadership & innovation in specialist area to enable enhanced performance by managing leading edge projects across the specialist area.,,Postedhace 30+ días,2022-04-22,,,,,,Provide thought leadership & innovation in specialist area to enable enhanced performance by managing leading edge projects across the specialist area. ,,Analyst,
49,5,Especialista de Atracción de Talento,"Remoto temporalmente in Zapopan, Jal.",Remoto,CIENCE,,"As a Talent Acquisition Specialist, you will be responsible to utilize different channels to search for potential candidates, reach passive candidates, and…",,PostedHoy,2022-04-22,,,,,,"As a Talent Acquisition Specialist, you will be responsible to utilize different channels to search for potential candidates, reach passive candidates, and… ",,Especialista,
50,6,Data & Analytics Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,Hard Skills on Azure Data factory - Integrated Runtime (SSIS).Azure Data warehouse (Synapse SQL).Languages must - TSQL (nice to have: C#/Python).,,Postedhace 30+ días,2022-04-22,,,,,,Hard Skills on Azure Data factory - Integrated Runtime (SSIS).Azure Data warehouse (Synapse SQL).Languages must - TSQL (nice to have: C#/Python). ,"Python, SQL",Engineer,Analytics
51,7,"Data Architect, Data Lake",Ciudad de México,Ciudad de México,Amazon Web Services Mexico,,"These professional services engagements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data…",,Postedhace 30+ días,2022-04-22,,,,,,"These professional services engagements will focus on customer solutions such as Data and Business intelligence, machine Learning and batch/real-time data… ",Machine learning,,
52,8,Business Development Executive Applictaion & Cloud Services,Ciudad de México,Ciudad de México,SoftwareONE,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other…",,Postedhace 30+ días,2022-04-22,,,,,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other… ",,,
53,9,Senior Cloud Data Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,"Experience with machine learning algorithms, including deep neural networks, natural language processing, kernel methods, dimensionality reduction, ensemble…",,Postedhace 30+ días,2022-04-22,,,,,,"Experience with machine learning algorithms, including deep neural networks, natural language processing, kernel methods, dimensionality reduction, ensemble… ",Machine learning,Engineer,
54,10,Security DevOps Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,"Experience building pipeline for automation of machine image creation and management.Experience working in public cloud environments, strong public cloud…",,Postedhace 30+ días,2022-04-22,,,,,,"Experience building pipeline for automation of machine image creation and management.Experience working in public cloud environments, strong public cloud… ",,Engineer,
55,11,Software Engineer (Ford Pro),"Colonia Santa Fe, CDMX",Ciudad de México,Ford de México,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming…",,Postedhace 2 días,2022-04-22,,,,,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming… ",Machine learning,Engineer,
56,12,Expert IT Technology-Customer Care - IT North America,Ciudad de México,Ciudad de México,Nestle,,"Technology expertise • Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation,…",,Postedhace 30+ días,2022-04-22,,,,,,"Technology expertise • Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation,… ",,,
57,13,Business Development Executive Application & Cloud Services,Ciudad de México,Ciudad de México,SoftwareONE,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other…",,Postedhace 30+ días,2022-04-22,,,,,,"Provides direction and specialist knowledge in applying the technology/application to client business.Contribute to design, develop, and potentially lead other… ",,,
